individualID,mirna_id,mwas_id,mrna_id,cnvdata_id,projid,Study
R8316516,b01.127C,TBI-AUTO73025-PT-319J,279_120430_3,,33477756.0,MAP
R1822146,b01.127N,PT-M5AF,575_120521_2,SM-CTDQQ,20271359.0,ROS
R3512949,b01.128C,,,SM-CTDVR,10100736.0,ROS
R3143439,b01.128N,PT-BZBT,502_120515_1,SM-CTEMJ,38967303.0,MAP
R4590536,b01.129C,PT-BZLT,,SM-CJFNQ,46291609.0,MAP
R9679238,b01.129N,,925_131031_8,SM-CJFO9,10298957.0,ROS
R6879714,b01.130C,PT-3PTN,660_120530_1,SM-CTEEU,65736039.0,MAP
R8963331,b01.130N,PT-M5GT,607_120523_2,SM-CJEKL,20197364.0,ROS
R4182458,b02.127C,PT-M56J,378_120503_2,,21001807.0,ROS
R3450006,b02.127N,,,SM-CTECE,50104396.0,MAP
R5656511,b02.128C,PT-BYE5,551_120517_2,SM-CTEFZ,67185070.0,MAP
R8767513,b02.128N,,,,49295635.0,ROS
R3739042,b02.129C,TBI-AUTO73204-PT-35CT,473_120514_1,SM-CTEGR,20726273.0,ROS
R6476704,b02.129N,PT-MA4B,702_120605_1,SM-CTEFA,20834164.0,ROS
R9936070,b02.130C,TBI-AUTO73043-PT-35BD,207_120424_4,SM-CJIXK,2899847.0,MAP
R2472304,b02.130N,PT-M5N4,220_120425_2,,20148879.0,ROS
R4927046,b03.127C,,,SM-CJJ1O,81874628.0,MAP
R2310801,b03.127N,TBI-AUTO73173-PT-35CX,488_120515_1,,20917568.0,ROS
R3477250,b03.128C,PT-BZ6V,669_120530_2,SM-CJGMV,50401002.0,MAP
R8046664,b03.128N,,,SM-CJEKZ,50407486.0,MAP
R2645096,b03.129C,TBI-AUTO73183-PT-312H,484_120515_2,SM-CTEGQ,21101658.0,ROS
R2346589,b03.129N,PT-M5RR,384_120503_1,,10267798.0,ROS
R1018391,b03.130C,TBI-AUTO73152-PT-35NX,,SM-CJIXL,50103381.0,MAP
R5739959,b03.130N,PT-BY9P,648_120529_4,SM-CJIWU,39484737.0,MAP
R8466373,b04.127C,PT-BZFZ,495_120515_1,SM-CJEG4,22776575.0,MAP
R1827081,b04.127N,PT-BZD6,,SM-CJGNO,50106316.0,MAP
R3067449,b04.128C,PT-BZCJ,,SM-CJFOE,70625336.0,MAP
R4147686,b04.128N,PT-M59I,699_120605_3,SM-CJK55,10551157.0,ROS
R6776130,b04.129C,,,SM-CTEE8,72560222.0,MAP
R7791442,b04.129N,TBI-AUTO73114-PT-2ZXX,445_120507_3,SM-CJGIN,20233939.0,ROS
R8704458,b04.130C,PT-M5MB,242_120426_6,SM-CJIXQ,20656964.0,ROS
R8202775,b04.130N,,,SM-CJJ2E,20153984.0,ROS
R4266155,b05.127C,,934_131101_7,SM-CJIZZ,21001771.0,ROS
R8062004,b05.127N,,,SM-CJFKA,27242962.0,MAP
R3727306,b05.128C,,809_130702_7,SM-CJJ23,50500550.0,MAP
R1954385,b05.128N,,,SM-CJEHQ,39136480.0,MAP
R2499778,b05.129C,,,SM-CJK47,10319069.0,ROS
R9596785,b05.129N,TBI-AUTO73030-PT-2ZW1,453_120507_4,SM-CJGJ2,10901987.0,ROS
R3110303,b05.130C,,,SM-CTDUX,48697089.0,MAP
R6280004,b05.130N,,927_131031_7,SM-CTDRO,37251992.0,MAP
R3922205,b06.127C,PT-BYJ8,678_120604_3,SM-CJIZL,27313862.0,MAP
R7891149,b06.127N,TBI-AUTO73324-PT-317X,,,30711043.0,MAP
R1956123,b06.128C,PT-BZCF,,SM-CTDS3,50300084.0,MAP
R1687970,b06.128N,PT-BYQF,690_120604_4,SM-CTEER,7311370.0,MAP
R6163933,b06.129C,,909_131031_7,SM-CJGMU,92371267.0,MAP
R1292795,b06.129N,,,SM-CJEKJ,10484873.0,ROS
R9402855,b06.130C,,,SM-CJFOA,20282974.0,ROS
R1408411,b06.130N,,787_130530_8,SM-CJJ1M,4127190.0,MAP
R3218482,b07.127C,,770_130523_7,SM-CJJ2M,34287534.0,MAP
R4258320,b07.127N,,,SM-CTEM9,20282398.0,ROS
R1034846,b07.128C,,,SM-CJFKJ,47652086.0,MAP
R5321546,b07.128N,TBI-AUTO72995-PT-35CI,,SM-CJGIF,20439591.0,ROS
R3368249,b07.129C,PT-M5WT,588_120522_1,SM-CJJ18,20280666.0,ROS
R6001210,b07.129N,TBI-AUTO73119-PT-35CY,259_120426_6,SM-CTDSB,20603141.0,ROS
R3008520,b07.130C,TBI-AUTO73150-PT-319U,485_120515_5,SM-CTDQZ,50102376.0,MAP
R8216364,b07.130N,,,SM-CTEEJ,50102790.0,MAP
R9380629,b08.127C,PT-C1N8,,,95442315.0,MAP
R5133113,b08.127N,,,SM-CJFL4,35072859.0,MAP
R4480046,b08.128C,,763_130520_7,SM-CJJ26,52940446.0,MAP
R7029629,b08.128N,,,SM-CJGNB,72777797.0,MAP
R5973191,b08.129C,PT-BZC4,468_120514_2,SM-CJGMX,17929065.0,MAP
R9598418,b08.129N,PT-BYDE,391_120503_6,SM-CJGM9,91921829.0,MAP
R4618186,b08.130C,PT-MA4C,,SM-CJFNX,20613887.0,ROS
R6862468,b08.130N,TBI-AUTO73229-PT-2ZW9,383_120503_0,SM-CTEDU,10518782.0,ROS
R5260417,b09.127C,,,SM-CTEMB,94852511.0,MAP
R4254299,b09.127N,,,SM-CTDVG,73763467.0,MAP
R7374385,b09.128C,,,,20674038.0,ROS
R8444624,b09.128N,PT-BYDN,593_120522_1,SM-CTEMN,87410220.0,MAP
R8915904,b09.129C,,,SM-CJK3E,32016379.0,MAP
R3121235,b09.129N,PT-BYVZ,605_120523_2,,46246604.0,MAP
R5907586,b09.130C,PT-BZBY,437_120507_6,SM-CTDQJ,65001607.0,MAP
R1752258,b09.130N,TBI-AUTO73186-PT-35C6,,SM-CJGM6,10986136.0,ROS
R5850046,b10.127C,PT-BYDV,498_120515_1,SM-CJIZS,50400835.0,MAP
R6710198,b10.127N,PT-M5A8,,,20654818.0,ROS
R2492875,b10.128C,PT-BY57,,,54559063.0,MAP
R2364987,b10.128N,,,SM-CTEDB,20207437.0,ROS
R6058053,b10.129C,TBI-AUTO73314-PT-2ZVU,456_120507_2,SM-CTDTK,10291856.0,ROS
R8044591,b10.129N,PT-M5QG,590_120522_2,SM-CJEK6,20774339.0,ROS
R2636782,b10.130C,,,SM-CJGMG,24141372.0,MAP
R2732138,b10.130N,,,,57978468.0,MAP
R7483736,b11.127C,PT-BZBC,430_120507_1,SM-CTEDY,50101523.0,MAP
R1122247,b11.127N,,,SM-CJEGO,20208992.0,ROS
R5177066,b11.128C,PT-M5QJ,618_120524_4,SM-CJFN8,10246987.0,ROS
R2139504,b11.128N,,,,8682642.0,MAP
R2097247,b11.129C,,,SM-CJGMI,50300660.0,MAP
R8200482,b11.129N,,,SM-CJEKC,20180815.0,ROS
R3757880,b11.130C,SM-1Q3QT-qiaAMP,291_120430_6,SM-CJGLS,64493027.0,MAP
R6828280,b11.130N,,958_131107_7,SM-CJJ1N,22789958.0,MAP
R2716798,b12.127C,PT-M5CU,145_120419_5,SM-CJGGY,20151388.0,ROS
R6267541,b12.127N,PT-M5M7,423_120507_5,SM-CJJ2R,21126823.0,ROS
R6089456,b12.128C,TBI-AUTO73064-PT-35CW,,SM-CJEH5,20965598.0,ROS
R6266062,b12.128N,PT-M5AB,,,20474300.0,ROS
R8197015,b12.129C,PT-BYE8,,SM-CJEHW,71648351.0,MAP
R6244868,b12.129N,,,SM-CTEFN,53965805.0,MAP
R1496775,b12.130C,,,SM-CTDUQ,40611041.0,MAP
R1956458,b12.130N,,,SM-CJFNO,68778359.0,MAP
R8380498,b13.127C,,,,50302680.0,MAP
R1924801,b13.127N,PT-BZHD,564_120517_1,SM-CJGLG,31509843.0,MAP
R4527133,b13.128C,PT-BYDX,534_120516_2,SM-CJGNK,70816595.0,MAP
R2577726,b13.128N,PT-BYE9,,SM-CJIZ4,6073025.0,MAP
R7589742,b13.129C,,,SM-CJEL3,20902039.0,ROS
R9886653,b13.129N,,924_131031_8,,46910335.0,MAP
R7881801,b13.130C,PT-BZCH,520_120515_1,SM-CTEMS,1243685.0,MAP
R5927382,b13.130N,PT-M5D1,577_120521_3,SM-CJIXO,10436131.0,ROS
R2879330,b14.127C,,,SM-CJJ2Q,63874408.0,MAP
R2420066,b14.127N,,,SM-CJJ21,55177253.0,MAP
R3030177,b14.128C,,,SM-CJEKP,14393933.0,MAP
R5936361,b14.128N,,,SM-CJEKS,75862131.0,MAP
R1956018,b14.129C,,,SM-CTEEQ,45514725.0,MAP
R3151599,b14.129N,PT-BZIE,,SM-CJIY3,67216828.0,MAP
R2975126,b14.130C,,895_130923_8,SM-CTED8,61827429.0,MAP
R2237803,b14.130N,PT-MA3A,666_120530_1,SM-CJFOH,20455807.0,ROS
R2541268,b15.127C,TBI-AUTO73231-PT-35B2,,SM-CTEN1,77970662.0,MAP
R9738414,b15.127N,,,SM-CJEKY,20976799.0,ROS
R8223945,b15.128C,TBI-AUTO72993-PT-314X,,SM-CJK4U,50101109.0,MAP
R2745248,b15.128N,,,SM-CTDUY,70636113.0,MAP
R3509724,b15.129C,,,SM-CTDV7,39125441.0,MAP
R1407047,b15.129N,PT-BZT8,610_120523_0,SM-CTEM5,67429065.0,MAP
R2667630,b15.130C,SM-1Q3QV-qiaAMP,700_120605_2,,10405008.0,ROS
R2131457,b15.130N,PT-MA3C,,SM-CTECW,21401001.0,ROS
R2543886,b16.127C,PT-BYUH,626_120524_1,SM-CJK3B,39989287.0,MAP
R8292982,b16.127N,,,SM-CJJ11,47236602.0,MAP
R4641987,b16.128C,TBI-AUTO73079-PT-2ZVZ,284_120430_2,SM-CJGGZ,10669174.0,ROS
R9323873,b16.128N,,846_130830_7,SM-CTED3,20223617.0,ROS
R7645936,b16.129C,,,SM-CTDS8,21001195.0,ROS
R7738727,b16.129N,PT-BYDJ,479_120514_4,SM-CJJ1L,8132197.0,MAP
R4847810,b16.130C,,,SM-CJFMZ,11349821.0,ROS
R2834233,b16.130N,PT-MA3D,673_120530_2,,20260734.0,ROS
R9929164,b17.127C,,,SM-CJFNA,20204114.0,ROS
R7698208,b17.127N,PT-BYFC,,SM-CJFP3,50301549.0,MAP
R7788887,b17.128C,PT-M5S8,,,74718818.0,MAP
R1360065,b17.128N,,864_130911_7,,76431098.0,MAP
R6823345,b17.129C,PT-M5GK,,SM-CJEGD,21002812.0,ROS
R8785791,b17.129N,,,,50304024.0,MAP
R6600608,b17.130C,,,SM-CJEG7,20124619.0,ROS
R3069627,b17.130N,,,SM-CTDS9,96892753.0,MAP
R6847727,b18.127C,TBI-AUTO73317-PT-35AV,97_120417_5,SM-CTEGF,20187042.0,ROS
R2079629,b18.127N,PT-M5E4,523_120515_4,SM-CJFN9,21000630.0,ROS
R9821425,b18.128C,SM-1Q3R2-qiaAMP,,SM-CJEH4,50409956.0,MAP
R6289070,b18.128N,,,,50103093.0,MAP
R9974729,b18.129C,TBI-AUTO72958-PT-2ZWU,,SM-CJK4P,20594669.0,ROS
R8266864,b18.129N,,857_130905_7,,75169847.0,MAP
R4887967,b18.130C,PT-BZD7,,SM-CJFPC,95329283.0,MAP
R7304869,b18.130N,,,,31813134.0,MAP
R3535957,b19.127C,PT-BZC7,582_120521_4,SM-CJGGK,25580771.0,MAP
R6382654,b19.127N,,,SM-CTEF4,37393077.0,MAP
R1218460,b19.128C,PT-M56L,508_120515_6,SM-CJFPF,20105242.0,ROS
R5369295,b19.128N,TBI-AUTO73018-PT-314W,224_120425_5,SM-CTDQI,50103129.0,MAP
R4981575,b19.129C,,949_131107_7,SM-CJEKG,16621574.0,MAP
R2347173,b19.129N,,768_130523_8,SM-CJJ28,32383679.0,MAP
R1743384,b19.130C,PT-BZBW,525_120515_0,SM-CTEEG,57978756.0,MAP
R6743664,b19.130N,TBI-AUTO73145-PT-2ZWJ,461_120514_3,SM-CTDQG,15138884.0,ROS
